,Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Spent,Living_With,Children,Family_Size,Is_Parent,Clusters,Total_Promos
17,1,37760,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,69,317,1,0,2,0,2,0
18,2,76995,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,66,1782,1,1,3,1,0,1
19,0,33812,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,30,133,0,1,2,1,2,0
20,1,37040,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,33,316,1,0,2,0,2,0
21,1,2447,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,36,1730,1,1,3,1,0,0
22,2,58607,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,66,972,1,1,3,1,0,1
23,2,65324,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,61,544,1,1,3,1,0,0
24,1,40689,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,64,444,1,1,3,1,0,0
25,1,18589,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,46,75,0,0,1,0,2,0
26,1,53359,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,39,257,1,2,4,1,0,0
28,1,38360,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,26,131,1,1,3,1,2,0
29,2,84618,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,50,1672,1,0,2,0,3,1
30,2,10979,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,26,30,0,0,1,0,2,0
31,2,38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,52,318,1,0,2,0,2,0
32,1,40548,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,45,120,1,1,3,1,1,1
33,2,46610,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,63,302,0,2,3,1,0,0
34,2,68657,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,69,1196,1,0,2,0,3,0
35,2,49389,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,64,65,0,2,3,1,1,0
36,2,67353,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,45,913,1,1,3,1,0,0
37,0,23718,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,39,81,1,1,3,1,2,0
38,1,42429,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,42,67,0,1,2,1,1,0
39,2,48948,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,72,902,0,0,1,0,3,1
40,1,80011,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,35,1395,1,1,3,1,0,0
41,2,20559,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,30,53,1,1,3,1,2,0
42,1,21994,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,58,22,1,1,3,1,1,0
44,2,7500,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,40,31,1,1,3,1,2,0
45,1,79941,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,39,984,0,0,1,0,3,0
46,0,7500,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,19,122,1,0,2,0,2,0
47,1,41728,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,47,55,1,1,3,1,2,0
49,2,72550,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,61,1319,1,2,4,1,0,0
50,1,65486,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,58,507,0,1,2,1,0,0
51,2,79143,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,51,1693,1,0,2,0,3,0
52,1,35790,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,38,72,0,1,2,1,2,0
53,1,82582,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,38,1617,0,0,1,0,3,2
54,1,66373,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,37,606,1,2,4,1,0,0
55,2,82384,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,60,1957,1,0,2,0,3,1
56,1,70287,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,49,1093,0,0,1,0,3,0
57,1,27938,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,27,29,0,1,2,1,2,0
59,2,55954,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,47,518,1,1,3,1,0,0
60,2,75777,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,33,1438,0,0,1,0,3,2
61,1,66653,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,40,612,1,2,4,1,0,0
62,1,61823,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,63,884,0,1,2,1,0,0
63,2,67680,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,64,606,0,1,2,1,0,0
64,1,70666,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,67,1076,1,0,2,0,3,0
65,1,25721,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,44,34,1,1,3,1,2,0
66,1,32474,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,48,11,1,2,4,1,1,0
67,0,88194,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,36,1274,0,1,2,1,0,2
68,1,69096,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,57,653,1,1,3,1,0,0
69,1,74854,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,45,1562,1,3,5,1,0,0
70,2,66991,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,61,1253,1,0,2,0,3,0
72,1,65031,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,56,863,1,1,3,1,0,0
73,2,60631,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,40,661,1,2,4,1,0,1
74,1,28332,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,63,65,1,0,2,0,2,0
75,1,40246,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,38,13,0,1,2,1,2,0
76,2,75251,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,43,1890,1,0,2,0,3,0
77,1,75825,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,39,2209,0,0,1,0,3,1
78,0,26326,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,39,18,1,0,2,0,2,0
79,1,56046,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,50,692,1,0,2,0,2,1
80,1,29760,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,30,165,0,1,2,1,2,0
81,1,26304,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,46,16,1,1,3,1,2,0
82,0,23559,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,42,79,1,1,3,1,2,0
83,2,38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,52,318,1,0,2,0,2,0
84,1,81361,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,28,778,0,0,1,0,3,0
85,1,29440,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,55,56,1,2,4,1,1,0
86,2,36138,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,45,151,1,2,4,1,1,1
87,1,50388,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,58,372,0,1,2,1,1,2
88,1,79593,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,42,1366,1,0,2,0,3,1
89,1,54178,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,48,194,1,1,3,1,1,0
93,2,42394,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,43,32,0,1,2,1,2,0
94,2,23626,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,45,43,1,1,3,1,2,0
95,1,30096,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,32,45,1,1,3,1,2,0
96,1,47916,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,55,606,0,1,2,1,0,1
97,1,51813,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,43,63,0,2,3,1,1,0
98,0,78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,64,978,1,0,2,0,3,1
99,2,50150,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,32,410,1,0,2,0,2,0
100,0,47823,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,55,72,0,1,2,1,1,0
101,2,34554,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,56,55,0,1,2,1,1,0
102,1,85693,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,36,1169,1,1,3,1,0,0
103,2,65846,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,70,1120,1,0,2,0,3,0
104,1,87195,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,56,1097,1,0,2,0,3,0
105,0,24594,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,36,29,1,1,3,1,2,0
106,1,49096,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,51,187,1,2,4,1,1,0
107,1,52413,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,46,910,1,2,4,1,0,0
108,1,38557,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,37,145,0,1,2,1,2,0
109,2,89058,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,55,850,1,0,2,0,3,0
110,1,77298,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,36,969,1,1,3,1,0,0
111,2,68126,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,24,1820,0,0,1,0,3,1
112,2,57288,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,52,608,1,1,3,1,0,1
113,1,86037,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,24,730,0,0,1,0,3,2
114,2,43974,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,35,551,1,1,3,1,0,0
115,1,50785,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,53,114,0,2,3,1,1,0
116,1,90765,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,45,1724,1,0,2,0,3,2
117,0,36550,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,37,577,1,1,3,1,2,0
118,0,30753,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,48,81,1,2,4,1,1,0
119,1,21918,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,46,33,1,1,3,1,2,0
120,2,56129,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,62,660,1,1,3,1,0,0
121,2,32557,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,48,80,0,1,2,1,1,0
122,2,19510,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,30,30,1,2,4,1,1,0
123,1,30992,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,39,43,0,1,2,1,2,0
124,1,101970,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,32,1135,0,0,1,0,3,3
125,0,71488,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,50,559,1,0,2,0,3,0
126,1,79607,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,31,1923,0,0,1,0,3,0
127,2,54348,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,62,90,1,2,4,1,1,0
129,2,77376,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,59,661,1,2,4,1,0,0
130,1,62998,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,63,463,1,1,3,1,0,0
131,2,61331,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,57,632,0,2,3,1,0,0
132,1,73448,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,46,725,1,0,2,0,3,0
134,2,41551,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,51,279,1,2,4,1,0,0
135,2,62981,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,48,1482,1,0,2,0,3,1
136,0,9548,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,39,29,0,1,2,1,2,0
137,2,33762,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,56,106,1,3,5,1,1,0
138,2,35860,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,42,49,0,2,3,1,1,1
139,2,36921,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,50,38,0,2,3,1,1,0
140,2,92859,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,23,2077,0,0,1,0,3,0
141,2,65104,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,39,1053,1,1,3,1,0,0
142,1,86111,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,53,1385,1,0,2,0,3,0
143,2,68352,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,41,871,0,1,2,1,0,0
144,1,41883,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,27,312,1,1,3,1,2,0
145,1,59809,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,39,877,1,2,4,1,0,0
146,1,23957,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,40,68,1,1,3,1,2,0
147,1,38547,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,34,22,1,1,3,1,2,0
148,0,35688,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,42,211,1,3,5,1,1,0
149,2,49605,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,49,127,1,0,2,0,2,0
150,2,59354,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,62,459,1,2,4,1,0,0
151,1,65747,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,46,460,1,1,3,1,0,1
152,0,46344,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,43,429,1,1,3,1,0,0
153,1,34176,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,27,89,0,1,2,1,2,0
154,2,61010,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,63,1021,1,1,3,1,0,0
155,1,69372,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,66,1381,1,0,2,0,3,2
156,1,49967,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,57,306,0,1,2,1,1,0
157,1,60199,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,37,18,0,3,4,1,1,0
158,1,55375,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,38,162,1,1,3,1,1,0
159,1,80317,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,60,1231,0,0,1,0,3,0
160,2,30523,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,57,13,0,3,4,1,1,0
161,2,70356,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,70,1706,1,0,2,0,0,0
162,1,23228,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,31,121,1,1,3,1,2,0
163,2,74165,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,40,1293,0,0,1,0,3,0
164,2,157243,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,42,1608,1,1,3,1,0,0
165,1,43482,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,49,88,1,3,5,1,1,0
166,1,62551,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,62,421,0,0,1,0,3,1
167,1,52332,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,56,259,0,0,1,0,2,1
168,1,66951,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,27,1117,0,0,1,0,3,0
169,1,26091,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,58,89,1,2,4,1,1,0
170,1,33456,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,50,36,1,2,4,1,1,0
171,1,28718,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,33,57,1,1,3,1,2,0
172,1,50447,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,45,148,1,2,4,1,2,0
173,2,53537,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,56,93,1,2,4,1,1,0
174,1,52074,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,48,119,0,1,2,1,1,1
175,2,80427,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,40,1835,1,1,3,1,0,0
176,2,83837,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,67,1318,1,0,2,0,3,2
177,2,38853,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,45,45,1,2,4,1,1,0
178,1,38285,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,56,10,1,3,5,1,1,0
179,0,78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,64,978,1,0,2,0,3,1
180,2,51650,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,39,191,1,1,3,1,1,0
181,0,16248,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,27,57,1,1,3,1,2,0
182,2,66835,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,69,1033,1,0,2,0,3,0
183,2,30477,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,31,66,1,1,3,1,2,0
184,0,28249,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,54,43,1,0,2,0,2,0
185,1,25271,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,32,50,1,1,3,1,2,0
186,2,32303,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,45,39,0,1,2,1,1,0
187,1,61286,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,49,608,1,1,3,1,0,0
188,1,74068,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,39,1581,1,0,2,0,3,0
189,2,45759,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,51,68,1,2,4,1,1,0
190,0,24882,1,0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,37,80,1,1,3,1,2,1
191,2,66973,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,26,1282,1,0,2,0,3,0
193,1,38872,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,27,91,1,1,3,1,2,0
194,1,51148,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,42,315,1,2,4,1,0,0
195,1,31353,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,38,31,1,2,4,1,1,0
196,2,69661,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,35,834,1,0,2,0,3,0
197,1,80067,0,0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,61,1600,1,0,2,0,3,1
198,1,86718,0,0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,61,1270,1,0,2,0,3,0
199,2,46854,1,1,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,42,263,0,2,3,1,1,1
200,1,69142,0,1,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,63,535,0,1,2,1,0,1
201,1,75922,0,0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,47,1295,0,0,1,0,3,0
202,1,63693,0,1,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,37,1150,0,1,2,1,0,0
203,2,102160,0,0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,38,1240,1,0,2,0,3,3
204,2,40637,1,1,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,50,38,0,2,3,1,1,0
205,2,18890,0,0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,31,35,0,0,1,0,2,1
206,1,29604,1,0,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,27,53,1,1,3,1,2,1
207,2,48721,1,1,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,52,293,0,2,3,1,1,0
208,1,44794,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,49,65,1,1,3,1,1,0
209,1,64497,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,61,1804,0,1,2,1,0,1
210,1,46097,0,1,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,59,241,1,1,3,1,0,0
211,1,77972,0,0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0,61,1101,1,0,2,0,3,0
212,2,44377,1,1,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0,47,264,1,2,4,1,0,0
213,2,46014,1,1,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0,41,541,1,2,4,1,0,0
214,1,70951,0,0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,30,1198,1,0,2,0,3,0
215,1,41443,1,0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0,38,482,1,1,3,1,2,0
216,0,52195,2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,37,17,0,3,4,1,1,0
217,2,83790,0,0,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0,67,1615,1,0,2,0,3,2
218,2,44551,0,1,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0,61,285,0,1,2,1,1,0
